FileName,Graph Number,Sample Name, S_BET, Total pore volume, Micropore volume
Data42,1,CS700,641,0.415,0.240
Data42,1,CS850,540,0.286,0.205
Data43,5,F1-0,130.5,0.06,0.05
Data43,5,F1-14,393.7,0.17,0.16
Data43,5,F1-23,330.2,0.16,0.16
Data43,5,F1-37,390.0,0.18,0.19
Data43,5,F1-40,613.5,0.26,0.25
Data43,5,F1-53,1238.6,0.54,0.46
Data43,5,F1-64,1313.6,0.59,0.46
Data43,5,F1-76,1341.3,0.60,0.49
Data43,5,F1-90,1213.4,0.54,0.43
Data43,6,F1-8-10,371.0,0.16,0.16
Data43,6,F1-8-11,448.0,0.19,0.19
Data43,6,F1-8-22,555.3,0.26,0.25
Data43,6,F1-8-32,718.0,0.31,0.30
Data43,6,F1-8-50,912.8,0.39,0.38
Data43,6,F1-8-52,964.5,0.46,0.41
Data43,6,F1-8-61,985.3,0.45,0.39
Data43,6,F1-8-77,762.0,0.35,0.29
Data43,7,F1N-12,369.8,0.17,0.16
Data43,7,F1N-25,577.2,0.27,0.25
Data43,7,F1N-36,790.6,0.35,0.34
Data43,7,F1N-40,829.9,0.36,0.33
Data43,7,F1N-51,1284.4,0.59,0.47
Data43,7,F1N-61,1284.4,0.60,0.41
Data43,7,F1N-85,1269.5,0.60,0.45
Data43,8,F2-12,310.7,0.14,0.14
Data43,8,F2-26,433.0,0.19,0.19
Data43,8,F2-30,540.8,0.24,0.23
Data43,8,F2-41,719.8,0.32,0.30
Data43,8,F2-48,1013.5,0.45,0.39
Data43,8,F2-66,976.2,0.44,0.37
Data43,8,F2-74,1396.7,0.62,0.50
Data43,8,F2-94,1535.2,0.73,0.53
Data47,1,ACF30M,1462,0.70,0.59
Data47,1,ACF45M,1914,1.06,0.73
Data47,3,ACF30M-HNO3,976,0.48,0.39
Data47,3,ACF45M-HNO3,1315,0.80,0.57
Data48,1,1,97.1,0.053,0.043
Data48,1,2,80.8,0.171,0.022
Data48,1,3,253,0.223,0.079
Data48,1,4,420,0.195,0.173
Data48,1,5,228,0.335,0.076
Data48,1,6,268,0.514,0.033
Data48,1,10,544,0.487,0.084
Data48,1,7,240,0.427,0.062
Data48,1,8,466,0.467,0.151
Data48,1,9,1177,0.597,0.570
Data48,1,11,278,0.296,0.036
Data48,1,12,466,0.501,0.103
Data50,2,AC15%,750,0.26,0.26
Data50,2,AC35%,1047,0.37,0.40
Data50,2,AC35%-1173ox,1440,0.58,0.51
Data50,2,AC67%,1336,0.50,0.47
Data50,2,char,241,0.12,0.11
Data51,2,PET-8120-CO2,77.8,0.039,0.002
Data51,2,PET-815-Air,25.2,0.022,0.007
Data51,2,PET-8240-Air,621.2,0.26,0.17
Data51,2,PET-KOH-450,16.6,0.004,0.005
Data51,2,PET-KOH-600,50.2,0.019,0.007
Data51,2,PET-KOH-800,732.7,0.31,0.21
Data52,7,TPCSs-1-700,1515,0.67,0.64
Data52,7,TPCSs-2-600,1338,0.54,0.50
Data52,7,TPCSs-2-700,1797,0.75,0.70
Data52,7,TPCSs-2-800,2149,0.94,0.80
Data52,7,TPCSs-3-700,1779,0.74,0.68
Data53,1,PAac,295.4881,0.185445,0.0720
Data53,1,PBac,171.8277,0.141699,0.0423
Data53,1,PCac,109.9583,0.060340,0.0323
Data53,1,ZAac,616.6038,0.289066,0.1843
Data53,1,ZBac,120.8772,0.122596,0.0280
Data53,1,ZCac,24.5399,0.021259,0.0069
Data54,2,Commercial,837.8,0.47,0.4
Data54,2,Z0.15,484.1,0.25,0.25
Data54,2,Z0.28,926.8,0.48,0.47
Data54,2,Z0.40,1078.2,0.54,0.54
Data54,2,Z0.53,1307.7,0.68,0.67
Data54,2,Z0.65,1671.6,0.99,0.87
Data54,3,Commercial,837.8,0.47,0.4
Data54,3,CZ0.15,583,0.43,0.423
Data54,3,CZ0.28,869.9,0.45,0.425
Data54,3,CZ0.40,947.6,0.48,0.48
Data54,3,CZ0.53,1178.9,0.62,0.61
Data54,3,CZ0.65,1193.2,0.67,0.62
Data55,3,f3,777,0.421,0.296
Data56,1,ACM(1-1)500,604.4,0.335,0.222
Data56,1,ACM(1-1)600,993.7,0.559,0.384
Data56,1,ACM(1-1)700,757.2,0.401,0.269
Data56,1,ACM(1-1)800,519.6,0.288,0.197
Data56,1,ACM(1-1.5)600,1164,0.640,0.457
Data56,1,ACM(1-2)600,1105,0.695,0.431
Data56,1,ACS(1-1.5)600,921.2,0.506,0.329
Data57,2,AC-1000,645,0.338,0.171
Data57,2,AC-600,415,0.180,0.108
Data57,2,AC-700,703,0.340,0.202
Data57,2,AC-800,930,0.533,0.274
Data57,2,AC-900,987,0.486,0.259
Data58,5,700-3h,448.4,0.19,0.17
Data58,5,700-6h,535.5,0.22,0.20
Data58,5,750-2h,667.9,0.29,0.26
Data58,5,750-3h,759.5,0.33,0.29
Data58,5,750-4h,816.3,0.37,0.32
Data58,5,800-1h,770.1,0.33,0.30
Data58,5,800-1h15m,817.2,0.38,0.32
Data58,5,800-1h30m,902.3,0.42,0.36
Data58,5,800-45m,1041.9,0.31,0.27
Data58,5,850-30m,662.5,0.29,0.26
Data58,5,850-45m,1041.9,0.49,0.42
Data58,5,850-50m,735,0.34,0.29
Data58,5,850-55m,815.2,0.37,0.32
Data59,2,CMS500,2064,1.188,0.417
Data59,2,CMS550,443,0.225,0.151
Data59,2,CMS650,743,0.377,0.261
Data59,2,CMS700,849,0.409,0.278
Data60,1,500,640,0.32,0.2944
Data60,1,600,1140,0.57,0.5358
Data60,1,700,1590,0.84,0.7392
Data60,1,800,1840,0.96,0.8448
Data60,1,900,900,0.52,0.4004
Data60,2,24%,720,0.34,0.34
Data60,2,33%,960,0.45,0.45
Data60,2,46%,1100,0.53,0.5088
Data60,2,57%,1540,0.75,0.7125
Data60,2,68%,1940,0.94,0.8742
Data60,2,78%,2220,1.10,0.99
Data60,2,burn-off=15%,530,0.25,0.25
Data61,1,CB,864,0.3,0.34
Data61,1,CB-1073,1127,0.48,0.42
Data61,1,CB-1173,814,0.34,0.29
Data62,7,200AC,429,0.189,0.162
Data62,7,500AC,521,0.229,0.196
Data62,7,700AC,180,0.087,0.069
Data62,7,NC700-2-1.5,387,0.175,0.147
Data63,1,Z500,837,0.498,0.286
Data63,1,Z600,957,0.502,0.302
Data63,1,Z700,1086,0.598,0.326
Data63,1,Z800,1268,0.739,0.391
Data63,2,ZL3,810,0.446,0.237
Data63,2,ZL4,1086,0.598,0.326
Data63,2,ZL5,1356,0.872,0.371
Data63,2,ZL6,1423,0.953,0.376
Data64,2,ETP-200-ACF,922,0.40,0.38
Data64,2,ETP-250-ACF,1047,0.46,0.43
Data64,2,ETP-300-ACF,862,0.38,0.36
Data64,2,ETP-ACF,755,0.33,0.32
Data65,2,R1-400,1204,0.61,0.53
Data65,2,R1-450,1371,0.69,0.54
Data65,2,R1-500,1478,0.78,0.57
Data65,2,R1-600,1340,0.69,0.52
Data65,2,R2-400,1258,0.71,0.49
Data65,2,R2-450,1503,0.86,0.59
Data65,2,R2-500,1387,1.17,0.53
Data65,2,R2-600,1340,1.07,0.50
Data65,2,R3-400,1286,0.88,0.50
Data65,2,R3-450,1317,1.05,0.47
Data65,2,R3-500,1100,1.27,0.43
Data65,2,R3-600,838,1.18,0.33
Data66,2,AC-500,2540,1.65,1.03
Data66,2,AC-600,2530,1.57,1.03
Data66,2,AC-700,2440,1.49,1.03
Data66,2,AC-800,1750,1.02,0.69
Data66,2,AC-900,1110,0.58,0.44
Data66,6,AC-r-500,1020,0.52,0.41
Data66,6,AC-r-600,1880,0.98,0.75
Data66,6,AC-r-700,2310,1.28,0.92
Data66,6,AC-r-800,2440,1.48,1.01
Data67,3,f3,2082,1.0760,0.4814
Data68,4,450W,757,0.37,0.269989
Data68,4,600W,784,0.39,0.269997
Data68,4,800W,920,0.46,0.289984
Data68,4,10min,866,0.42,0.26922
Data68,4,12min,777,0.39,0.248196
Data68,4,4min,911,0.45,0.332145
Data68,4,8min,895,0.44,0.305272
Data69,1,D3055011,398,0.14,0.13
Data69,1,D3065011,654,0.22,0.21
Data69,1,D3065013,2227,0.95,0.59
Data69,1,D9065011,670,0.26,0.20
Data69,1,D9065013,1609,0.63,0.47
Data69,1,D9075013,982,0.47,0.28
Data71,2,K81,1186,0.71,0.44
Data71,2,K82,2048,1.32,0.72
Data72,3,BAC-1000,636.91,0.363,0.201
Data72,3,BAC-1100,503.40,0.238,0.164
Data72,3,BAC-600,75.50,0.059,0.029
Data72,3,BAC-700,93.59,0.076,0.039
Data72,3,BAC-800,126.60,0.089,0.049
Data72,3,BAC-900,247.44,0.130,0.084
Data73,9,AC-1,143.84,0.220,0.063
Data73,9,AC-2,161.54,0.280,0.075
Data73,9,AC-3,258.00,0.440,0.079
Data73,9,AC-4,275.15,0.360,0.236
Data73,9,AC-6,671.68,0.698,0.583
Data73,9,AC-7,1216.36,0.765,0.664
Data73,9,AC-8,1374.20,1.037,0.885
Data73,9,AC-9,1826.41,1.252,0.887
Data74,2,ACK-0.5-6,644,0.404,0.312
Data74,2,ACK-1-6,705,0.429,0.344
Data74,2,ACK-2-6,1006,0.578,0.505
Data74,2,ACK-3-6,970,0.545,0.454
Data74,2,ACZ-1-6,901,0.514,0.428
Data74,2,ACZ-2-6,996,0.640,0.496
Data74,2,ACZ-3-6,1268,0.760,0.531
Data74,3,ACK-2-7,1694,0.887,0.700
Data74,3,ACK-2-8,1951,1.092,0.756
Data74,3,ACK-3-6,970,0.545,0.454
Data74,3,ACK-3-7,1111,0.592,0.487
Data74,3,ACK-3-8,1854,0.992,0.724
Data74,3,ACZ-3-7,1176,0.720,0.505
Data74,3,ACZ-3-8,1310,0.798,0.547
Data74,4,ACK-2-8,1951,1.092,0.756
Data74,4,ACK-2-8-1,1846,1.023,0.735
Data74,4,ACK-2-8-2,1901,1.026,0.726
Data74,4,ACK-2-8-3,2125,1.238,0.834
Data75,4,300stC,633,0.33,0.19
Data75,4,400stC,910,0.47,0.28
Data75,4,500stC,1016,0.53,0.31
Data75,4,600stC,996,0.50,0.31
Data75,4,700stC,651,0.32,0.21
Data75,4,1-1-5,886,0.46,0.27
Data75,4,1-2,1016,0.53,0.31
Data75,4,1-2-5,773,0.40,0.23
Data75,4,1-3,543,0.29,0.16
Data75,4,1-25h,987,0.51,0.30
Data75,4,1-5h,947,0.49,0.29
Data75,4,1h,1016,0.53,0.31
Data75,4,2h,865,0.45,0.26
Data76,3,AC15,1593,0.87,0.39
Data76,3,AC30,1586,0.96,0.32
Data76,3,AC5,1556,0.84,0.37
Data77,3,PAC200-2,631,0.27,0.23
Data77,3,PAC200-4,540,0.23,0.20
Data77,3,PAC270-2,161,0.08,0.06
Data77,3,PAC270-4,77,0.05,0.03
Data77,3,PAC550-2,600,0.28,0.21
Data77,3,CAC-NOCarb,675,0.31,0.24
Data77,3,CAC200-2,502,0.27,0.18
Data77,3,CAC200-4,600,0.32,0.22
Data77,3,CAC270-2,230,0.22,0.08
Data77,3,CAC270-4,81,0.08,0.02
Data78,5,AMC-700,536.5,0.320,0.286
Data78,5,AMC-800,815.2,0.498,0.437
Data78,5,AMC-900,1040.3,0.635,0.574
Data79,2,0.11-C,410,0.21,0.16
Data79,2,0.11-R,270,0.18,0.10
Data79,2,0.25-C,620,0.34,0.25
Data79,2,0.25-O-C,560,0.32,0.23
Data79,2,0.25-R,540,0.33,0.21
Data79,2,O-C,60,0.09,0.03
Data80,2,600,2223,1.29,1.22
Data80,2,700,2636,1.53,1.32
Data80,2,800,2298,1.25,1.02
Data80,3,0-5,1622,1.05,0.97
Data80,3,1-0,1989,1.09,0.97
Data80,3,1-5,2636,1.53,1.32
Data80,3,2-0,1943,1.27,1.00
Data81,2,400,1407,0.8797,0.4752
Data81,2,500,1421,0.908,0.4817
Data81,2,600,1269,0.820,0.4401
Data81,3,IR1,1252,0.4569,0.3891
Data81,3,IR2,1421,0.908,0.4817
Data81,3,IR3,1406,0.868,0.4728
Data83,5,PEACF-30,1090,0.56,0.42
Data83,5,PEACF-40,1250,0.64,0.49
Data83,5,PEACF-50,1560,0.82,0.60
Data83,5,PEACF-60,1980,1.11,0.80
Data84,6,PE-H-9-1,950,0.42,0.37
Data84,6,PE-H-9-2,1400,0.65,0.52
Data84,6,PE-H-9-3,1370,0.69,0.49
Data84,6,PE-H-9-4,1600,0.86,0.56
Data85,1,BB-32,1100,0.48,0.44
Data85,1,BS-62,2130,0.99,0.79
Data85,1,BW-42,875,0.40,0.34
Data85,1,BW-63,1147,0.52,0.45
Data85,1,BW-C,382,0.19,0.15
Data86,2,ACK2,934,0.8,0.78
Data86,2,ACK3,1058,1.23,0.85
Data86,2,ACZ2,745,0.80,0.61
Data86,2,ACZ3,823,0.92,0.68
Data88,1,C6,570,0.21,0.18
Data88,1,CAC,3010,2.45,1.01
Data88,1,PAC,1650,0.60,0.56
Data88,1,PPAC,3290,1.78,1.39
Data89,2,AC-1,986,0.475,0.278
Data89,2,AC-2,1234,0.659,0.264
Data89,2,AC-3,1348,0.714,0.222
Data89,2,AC-4,1217,0.637,0.225
Data89,2,AC-5,1052,0.568,0.182
Data89,3,AC-3,1348,0.714,0.222
Data89,3,AC-6,918,0.380,0.273
Data89,3,AC-7,1357,1.065,0.083
Data89,3,AC-8,1190,1.002,0.078
Data89,3,AC-9,1202,1.384,0.073
Data89,4,AC-10,1485,0.875,0.189
Data89,4,AC-7,1357,1.065,0.083
Data90,2,AC-1000,645,0.338,0.171
Data90,2,AC-600,415,0.180,0.108
Data90,2,AC-700,703,0.340,0.202
Data90,2,AC-800,930,0.533,0.274
Data90,2,AC-900,987,0.486,0.259
Data91,3,AC-Gly,1165.8,0.511,0.444
Data91,3,AC-KG,652.6,0.269,0.246
Data91,3,AC-LiG,1026.9,0.447,0.388
Data91,3,AC-NaG,792.2,0.345,0.300
Data91,3,RAC,1238.9,0.524,0.462
Data91,3,AC-ME1,383.5,0.176,0.139
Data91,3,AC-MM1,711.8,0.312,0.267
Data91,3,AC-MW1,515.6,0.224,0.193
Data91,3,AC-MM2.5,7.4,0.015,0.002
Data91,3,AC-MM5,2.3,0.010,0.002
Data93,1,Default,2736,1.387,0.690
Data94,2,UFA-2-600,1055,0.58,0.45
Data94,2,UFFA-2-500,28,0.03,0.01
Data94,2,UFFA-2-600,1093,0.58,0.49
Data94,2,UFFA-2-700,1925,1.04,0.79
Data94,2,UFFA-2-800,2273,1.24,0.70
Data94,2,UFFA-1-600-b-black,416,0.23,0.2
Data94,2,UFFA-3-600-b-blue,1175,0.61,0.54
Data94,2,UFFA-4-600-b-green,1639,0.90,0.48
Data95,2,AC-2h,1030,0.54,0.41
Data95,2,AC-3h,960,0.53,0.37
Data95,2,AC-4h,640,0.35,0.25
Data95,2,AC-1-1,1530,0.99,0.65
Data95,2,AC-1-2,1300,0.98,0.56
Data95,2,AC-4-1,490,0.23,0.22
Data96,2,SC800,1375,0.63,0.58
Data96,2,SC800P,1050,0.47,0.46
Data96,2,SH800,2431,1.14,0.90
Data96,2,SSt800,814,0.37,0.36
Data97,1,SC700P,694,0.31,0.31
Data97,1,SC800,1375,0.63,0.58
Data97,1,SH800,2431,1.14,0.90
Data98,6,A-p1000,36,0.06,0.01
Data98,6,A-p1100,32,0.03,0.01
Data98,6,A-p600,376,0.21,0.15
Data98,6,A-p700,389,0.23,0.15
Data98,6,A-p800,363,0.22,0.14
Data98,6,A-p900,410,0.22,0.15
Data98,6,A-p900-KOH-1h,839,0.42,0.30
Data99,2,5AC,521.5,0.215,0.217
Data99,2,6AC,631,0.314,0.288
Data99,2,7AC,905,0.569,0.449
Data99,2,CAC,860,0.55,0.48
Data100,1,OS6_square,257,0.123,0.11
Data100,1,OS7_triangle,779,0.35,0.32
Data100,1,OS8_circle,1218,0.6,0.5
Data101,5,250,377,0.171,0.165
Data101,5,300,432,0.202,0.169
Data101,5,350,509,0.248,0.173
Data101,5,450,663,0.376,0.178
Data102,3,NPC-600,177,0.13,0.07
Data102,3,NPC-700,315,0.18,0.12
Data102,3,NPC-800,619,0.28,0.24
Data102,3,NPC-900,1256,0.65,0.46
Data103,1,K2CO3,1044,0.6769,0.4581
Data103,1,KOH,3441,2.093,1.304
Data103,1,Na2CO3,484.5,0.3561,0.1670
Data103,1,NaOH,1263,0.9019,0.5177
Data103,4,3,1823,1.158,0.8194
Data103,4,3.5,2691,1.752,1.127
Data103,4,4,3441,2.093,1.304
Data103,4,4.5,3055,1.873,1.403
Data103,4,5,2782,1.700,1.100
Data104,1,S1,552,0.38,0.13
Data104,1,S2,1616,0.86,0.38
Data104,1,S3,2490,1.7,0.43
Data105,1,A835,851,0.37,0.35
Data105,1,A835ox,817,0.36,0.33
Data105,1,V840,956,0.44,0.40
Data105,1,V840ox,646,0.29,0.25
Data106,1,C_NaOH_750,817,0.538,0.259
Data106,1,C_NaOH_800,1172,0.691,0.375
Data106,1,C_NaOH_850,918,0.574,0.295
Data107,1,RHBK,2201,0.957,0.924
Data107,1,RHBKS,1168.8,0.498,0.462
Data107,1,RHBS,317,0.175,0.136
Data109,2,CA1,1006.56,0.83,0.39
Data109,2,CA2,1227.60,1.01,0.46
Data109,2,CA3,1203.60,1.07,0.45
Data109,2,CA4,1206.27,1.29,0.47
Data109,2,CA5,798.51,0.89,0.38
Data109,2,CA6,1010.80,1.12,0.38
Data111,1,ADS1-900_700,554,0.32,0.26
Data111,1,ADS1-900_800,604,0.34,0.29
Data111,1,ADS1-900_900,511,0.28,0.23
Data111,2,ADS2-900-700,502,0.29,0.21
Data112,1,500,582,0.24,0.22
Data112,1,600,822,0.32,0.30
Data112,1,700,1295,0.54,0.49
Data112,1,800,2301,1.52,0.55
Data112,1,900,1707,1.24,0.54
Data113,2,SAC600_3_1,1695,1.838,0.727
Data113,2,SBP10,1900,1.338,0.823
Data114,1,BAG,1861,0.8,0.7
Data114,1,CS,2662,1.4,0.9
Data115,1,CAC1800,141,0.07,0.06
Data115,1,CAC1900,378,0.18,0.17
Data115,1,CAC3800,600,0.26,0.25
Data115,1,CAC6800,1013,0.43,0.42
Data116,1,PAC-0.2K2CO3-750-0.5,229,0.16,0.11
Data116,1,PAC-0.2KOH-750-0.5,182,0.12,0.08
Data116,1,PAC-0.5KOH-750-0.5,626,0.36,0.30
Data116,1,PAC-1.5K2CO3-750-0.5,669,0.43,0.35
Data116,1,PAC-750-0.5h,83,0.007,0.03
Data117,2,CTPC,415,0.18,0.16
Data117,2,CTZn,613,0.29,0.28
Data117,2,CTZnPC,816,0.37,0.36
Data117,2,CTPC-A,1256,0.60,0.54
Data117,2,CTZn-A,723,0.38,0.30
Data117,2,CTZnPC-A,960,0.42,0.40
Data120,1,AC-1-OX,594.0,1.031,0.130
Data120,1,AC-1-OXmw,600.4,2.340,0.156
Data120,1,AC-1mw,358.4,1.031,0.130
Data120,1,AC-2,346.7,1.686,0.140
Data120,1,AC-2mw,393.9,1.286,0.139
Data121,8,NDC-500,39,0.046,0.024
Data121,8,NDC-600,118,0.097,0.045
Data121,8,NDC-700,426,0.28,0.177
Data122,1,CF-0.5-400,1237.5,0.604,0.583
Data122,1,CF-1.0-400,1433.9,0.840,0.781
Data122,1,CF-1.5-400,1544.8,1.210,0.864
Data123,5,AC600,1200,0.605,0.457
Data123,5,AC800,502,0.302,0.178
Data123,5,AC1000,66,0.060,0.026
Data124,1,KKSN,755,0.445,0.348
Data124,1,KN,247,0.136,0.120
Data124,1,KSN,608,0.341,0.331
Data124,1,YKN,163,0.087,0.079
Data124,1,YKSN,237,0.131,0.115
Data124,1,KOH2,266,0.135,0.124
Data124,1,KOH3,312,0.155,0.151
Data124,1,KOHKN3,835,0.458,0.412
Data124,1,KOHKS3,569,0.281,0.258
Data124,1,KOHS2,437,0.295,0.189
Data124,1,KOHS3,456,0.235,0.206
Data125,3,bengkirai_wood_400,26,0.0062,0.0022
Data125,3,bengkirai_wood_600,80,0.0153,0.0042
Data125,3,bengkirai_wood_800,74,0.0130,0.0037
Data125,4,coconut_shells_400stC,263,0.0403,0.0260
Data125,4,coconut_shells_600stC,250,0.0649,0.0253
Data125,4,coconut_shells_800stC,271,0.0757,0.0409
Data125,7,coconut_shells_2h,100,0.0240,0.0086
Data125,7,coconut_shells_4h,251,0.0653,0.0255
Data125,7,coconut_shells_6h,249,0.0647,0.0253
Data125,8,bengkirai_wood_2h,26,0.0070,0.0029
Data125,8,bengkirai_wood_4h,81,0.0178,0.0061
Data125,8,bengkirai_wood_6h,74,0.0153,0.0054
Data126,1,AC-313.15-10-900-10,768,0.21,0.13
Data126,1,AC-313.15-20-540-8,578,0.17,0.12
Data126,1,AC-313.15-20-720-8,645,0.19,0.13
Data126,1,Ubtreated,352,0.12,0.08
Data127,1,f1,1120,0.636,0.160
Data130,1,IA2,429.00,0.201,0.162
Data130,1,IA3,319.60,0.166,0.137
Data130,1,IA4,344.10,0.166,0.160
Data130,1,CIA1,295.80,0.160,0.127
Data130,1,CIA3,375.00,0.194,0.166
Data130,1,CIA4,327.80,0.171,0.141
Data131,1,RS-0,351,0.186,0.115
Data131,1,RS-1,525,0.291,0.187
Data131,1,RS-2,902,0.432,0.280
Data131,1,RS-3,751,0.670,0.434
Data132,3,C-500,978,0.58,0.30
Data132,3,C-600,1540,0.75,0.52
Data132,3,C-700,1538,0.79,0.41
Data133,2,OPKC10,1228,0.78,0.16
Data133,2,OPKC7,477,0.23,0.21
Data133,2,OPKC8,621,0.30,0.22
Data133,2,OPKC85,987,0.48,0.37
Data133,2,OPKC9,1177,0.59,0.40
Data133,2,OPKC95,1352,0.79,0.22
Data133,2,OPZn5,1215,0.68,0.13
Data133,2,OPZn8,836,0.52,0.12
Data134,1,AC_0-400-1,1075.22,1.083,0.513
Data134,1,AC_15-400-1,1218.62,1.101,0.554
Data134,1,AC_30-400-1,1230.23,1.208,0.576
Data134,1,AC_45-400-1,1254.52,1.301,0.580
Data134,1,AC_60-400-1,1229.25,1.277,0.572
Data134,1,AC_75-400-1,1065.38,1.086,0.458
Data136,1,3-1,1849,0.89,0.64
Data136,1,3.5-1,2010,0.98,0.80
Data136,1,4-1,2104,1.04,0.90
Data136,1,4.5-1,2312,1.21,1.05
Data136,1,5-1,2219,1.12,0.93
Data136,1,5.5-1,2171,1.09,0.85
Data136,1,6-1,2158,1.06,0.82
Data136,3,700_f3,2029,0.84,0.69
Data136,3,750_f3,2182,1.07,0.90
Data136,3,800_f3,2312,1.21,1.05
Data136,3,850_f3,2250,1.16,0.97
Data136,3,900_f3,2188,1.09,0.89
Data136,5,0.5h_f5,2066,1.02,0.82
Data136,5,1.5h_f5,2388,1.27,1.13
Data136,5,1h_f5,2312,1.21,1.05
Data136,5,2.5h_f5,2042,1.00,0.85
Data136,5,2h_f5,2146,1.13,0.98
Data137,2,PR1_600,972,0.39,0.37
Data137,2,PRO,1128,0.45,0.43
Data137,2,PR2_600_f2_2,758,0.31,0.29
Data137,2,PRO_f2_2,1128,0.45,0.43
Data137,2,PR3_600_f2_3,857,0.35,0.34
Data137,2,PRO_f2_3,1128,0.45,0.43
Data137,2,PR4_600_f2_4,983,0.40,0.38
Data137,2,PRO_f2_4,1128,0.45,0.43
Data138,1,SK-0.3-700,579,0.29,0.23
Data138,1,SK-0.5-600,710,0.44,0.29
Data138,1,SK-0.5-700,1060,0.52,0.44
Data138,1,SK-0.5-800,1134,0.68,0.46
Data138,1,SK-0.5-900,1193,0.71,0.48
Data138,1,SK-1-700,1316,0.63,0.55
Data138,1,SK-2-700,1395,0.86,0.56
Data138,1,SK-3-700,2040,0.89,0.82
Data138,1,SK-4-700,2792,1.04,0.92
Data139,2,N,980.4,0.67,0.33
Data139,2,NFC,670.3,0.49,0.25
Data139,2,NFM,649.4,0.47,0.22
Data140,2,C400-90,728,0.3586,0.3145
Data140,2,C500-90,685,0.3302,0.2956
Data140,2,C600-90,660,0.3164,0.2859
Data140,2,C400-90,753,0.3616,0.3265
Data140,2,C500-90,786,0.3936,0.3405
Data140,2,C600-90,709,0.3404,0.3053
Data140,3,AC1000-90,666,0.3284,0.2870
Data140,3,AC850-90,585,0.2722,0.2532
Data140,3,AC950-90,786,0.3936,0.3405
Data140,3,AC1000-120,665,0.3353,0.2848
Data140,3,AC850-120,627,0.2885,0.2716
Data140,3,AC900-120,764,0.3646,0.3299
Data140,3,AC950-120,782,0.3823,0.3352
Data141,2,CAC,1449,0.66,0.43
Data141,2,CACuO025,992,0.36,0.30
Data141,2,CACuO050,872,0.41,0.34
Data141,2,CAN23,884,0.39,0.33
Data141,2,CAN26,855,0.39,0.32
Data141,2,CAN83,1039,0.46,0.37
Data141,2,CAN86,875,0.36,0.33
Data142,1,CNR115,1714,0.94,0.64
Data142,1,CNR115-ox,929,0.45,0.36
Data142,1,CNR115-ox-am,352,0.21,0.14
Data143,1,SG-C,684,0.41,0.23
Data143,1,SG-CN1,1000,0.64,0.25
Data143,1,SG-CN2,1111,0.67,0.33
Data143,1,SG-CN3,727,0.48,0.18
Data144,2,FW400-KOH500,516.8,0.3034,0.2086
Data144,2,FW400-KOH600,807.0,0.4072,0.3295
Data144,2,FW400-KOH700,1116.0,0.6103,0.4396
Data144,2,FW400-KOH800,675.4,0.5435,0.2588
Data144,2,FW400-KOH6001,366.9,0.2111,0.1397
Data144,2,FW400-KOH6002,807.0,0.4072,0.3295
Data144,2,FW400-KOH6003,775.2,0.5084,0.3136
Data145,1,AC1-1h,1195,0.52,0.50
Data145,1,AC2-1h,1670,0.71,0.71
Data145,1,AC3-1h,3013,1.32,1.28
Data145,1,AC2-1-5h,1871,0.82,0.80
Data145,1,AC2-1h,1670,0.71,0.71
Data145,1,AC2-2h,1752,0.75,0.74
Data146,5,BKC-600-2,535,0.23,0.22
Data146,5,HKC-600-2,893,0.38,0.33
